+------------+--------+-------------+----------+
| tournament | player | prize_money | position |
|        163 |      1 |        NULL |        4 |
|        163 |      2 |        NULL |       10 |
|        163 |      4 |        NULL |        1 |
|        163 |      9 |        NULL |        6 |
|        163 |     12 |        NULL |       18 |
|        163 |     14 |        NULL |       19 |
|        163 |     16 |        NULL |       32 |
|        163 |     18 |        NULL |        3 |
|        163 |     19 |        NULL |       38 |
|        163 |     21 |        NULL |       28 |
|        163 |     22 |        NULL |       35 |
|        163 |     24 |        NULL |        9 |
|        163 |     28 |        NULL |       21 |
|        163 |     29 |        NULL |       15 |
|        163 |     33 |        NULL |       37 |
|        163 |     34 |        NULL |       24 |
|        163 |     35 |        NULL |       39 |
|        163 |     36 |        NULL |       23 |
|        163 |     38 |        NULL |        8 |
|        163 |     42 |        NULL |       26 |
|        163 |     43 |        NULL |        2 |
|        163 |     44 |        NULL |        5 |
|        163 |     46 |        NULL |       27 |
|        163 |     47 |        NULL |       20 |
|        163 |     49 |        NULL |       22 |
|        163 |     56 |        NULL |       29 |
|        163 |     57 |        NULL |       11 |
|        163 |     59 |        NULL |       14 |
|        163 |     64 |        NULL |       63 |
|        163 |     65 |        NULL |       17 |
|        163 |     67 |        NULL |       49 |
|        163 |     69 |        NULL |       30 |
|        163 |     74 |        NULL |       46 |
|        163 |     77 |        NULL |       55 |
|        163 |     81 |        NULL |       31 |
|        163 |     86 |        NULL |       51 |
|        163 |     87 |        NULL |       57 |
|        163 |     90 |        NULL |       41 |
|        163 |     93 |        NULL |       56 |
|        163 |     98 |        NULL |        7 |
|        163 |    100 |        NULL |       45 |
|        163 |    105 |        NULL |       54 |
|        163 |    106 |        NULL |       16 |
|        163 |    113 |        NULL |       40 |
|        163 |    114 |        NULL |       25 |
|        163 |    116 |        NULL |       36 |
|        163 |    129 |        NULL |       48 |
|        163 |    133 |        NULL |       61 |
|        163 |    134 |        NULL |       13 |
|        163 |    141 |        NULL |       53 |
|        163 |    143 |        NULL |       62 |
|        163 |    157 |        NULL |       43 |
|        163 |    190 |        NULL |       52 |
|        163 |    195 |        NULL |       33 |
|        163 |    207 |        NULL |       50 |
|        163 |    218 |        NULL |       60 |
|        163 |    229 |        NULL |       34 |
|        163 |    297 |        NULL |       58 |
|        163 |    339 |        NULL |       42 |
|        163 |    478 |        NULL |       47 |
|        163 |    649 |        NULL |       59 |
|        163 |   1458 |        NULL |       44 |
|        167 |      1 |        NULL |       11 |
|        167 |      4 |        NULL |       18 |
|        167 |      5 |        NULL |        3 |
|        167 |      6 |        NULL |        8 |
|        167 |     11 |        NULL |        4 |
|        167 |     13 |        NULL |        1 |
|        167 |     14 |        NULL |       13 |
|        167 |     16 |        NULL |       23 |
|        167 |     17 |        NULL |        2 |
|        167 |     19 |        NULL |       32 |
|        167 |     21 |        NULL |       19 |
|        167 |     22 |        NULL |       25 |
|        167 |     28 |        NULL |       27 |
|        167 |     29 |        NULL |       17 |
|        167 |     32 |        NULL |        7 |
|        167 |     33 |        NULL |       30 |
|        167 |     34 |        NULL |       31 |
|        167 |     35 |        NULL |       29 |
|        167 |     36 |        NULL |       16 |
|        167 |     38 |        NULL |       14 |
|        167 |     43 |        NULL |       10 |
|        167 |     44 |        NULL |       24 |
|        167 |     49 |        NULL |       15 |
|        167 |     59 |        NULL |       20 |
|        167 |     65 |        NULL |       12 |
|        167 |     81 |        NULL |       21 |
|        167 |     82 |        NULL |        6 |
|        167 |     89 |        NULL |        5 |
|        167 |     93 |        NULL |       28 |
|        167 |    106 |        NULL |       22 |
|        167 |    134 |        NULL |        9 |
|        167 |    141 |        NULL |       26 |
|        192 |      1 |        NULL |       15 |
|        192 |      2 |        NULL |       40 |
|        192 |      3 |        NULL |       64 |
|        192 |      6 |        NULL |        6 |
|        192 |      9 |        NULL |       13 |
|        192 |     11 |        NULL |        8 |
|        192 |     12 |        NULL |       50 |
|        192 |     13 |        NULL |        1 |
|        192 |     14 |        NULL |       10 |
|        192 |     15 |        NULL |       51 |
|        192 |     16 |        NULL |        2 |
|        192 |     17 |        NULL |       18 |
|        192 |     19 |        NULL |       63 |
|        192 |     21 |        NULL |        3 |
|        192 |     22 |        NULL |       11 |
|        192 |     24 |        NULL |       23 |
|        192 |     27 |        NULL |       25 |
|        192 |     29 |        NULL |        7 |
|        192 |     30 |        NULL |       45 |
|        192 |     31 |        NULL |       43 |
|        192 |     32 |        NULL |       17 |
|        192 |     34 |        NULL |       26 |
|        192 |     35 |        NULL |        5 |
|        192 |     38 |        NULL |       14 |
|        192 |     42 |        NULL |       30 |
|        192 |     46 |        NULL |       34 |
|        192 |     49 |        NULL |       24 |
|        192 |     57 |        NULL |       20 |
|        192 |     59 |        NULL |       35 |
|        192 |     65 |        NULL |       28 |
|        192 |     67 |        NULL |       31 |
|        192 |     74 |        NULL |       21 |
|        192 |     77 |        NULL |       37 |
|        192 |     81 |        NULL |        9 |
|        192 |     82 |        NULL |        4 |
|        192 |     86 |        NULL |       36 |
|        192 |     93 |        NULL |       12 |
|        192 |     94 |        NULL |       60 |
|        192 |     98 |        NULL |       33 |
|        192 |    100 |        NULL |       52 |
|        192 |    113 |        NULL |       22 |
|        192 |    114 |        NULL |       38 |
|        192 |    116 |        NULL |       55 |
|        192 |    122 |        NULL |       42 |
|        192 |    124 |        NULL |       27 |
|        192 |    129 |        NULL |       48 |
|        192 |    132 |        NULL |       49 |
|        192 |    134 |        NULL |       19 |
|        192 |    138 |        NULL |       53 |
|        192 |    141 |        NULL |       32 |
|        192 |    145 |        NULL |       61 |
|        192 |    151 |        NULL |       62 |
|        192 |    155 |        NULL |       47 |
|        192 |    157 |        NULL |       29 |
|        192 |    160 |        NULL |       59 |
|        192 |    190 |        NULL |       16 |
|        192 |    195 |        NULL |       58 |
|        192 |    198 |        NULL |       57 |
|        192 |    203 |        NULL |       56 |
|        192 |    259 |        NULL |       54 |
|        192 |    297 |        NULL |       41 |
|        192 |    492 |        NULL |       44 |
|        192 |    494 |        NULL |       46 |
|        196 |      1 |        NULL |       19 |
|        196 |      4 |        NULL |        1 |
|        196 |      5 |        NULL |        8 |
|        196 |     12 |        NULL |       24 |
|        196 |     13 |        NULL |        9 |
|        196 |     14 |        NULL |       15 |
