+---------------+-----------------------------------------------------------------------------------+--------+-------+
| tournament_id | name                                                                              | region | major |
|          3181 | ZOTAC Cup North America #64                                                       | NULL   | 0     |
|          3182 | ZOTAC Cup North America #65                                                       | NULL   | 0     |
|          3183 | ZOTAC Cup North America #66                                                       | NULL   | 0     |
|          3184 | ZOTAC Cup North America #67                                                       | NULL   | 0     |
|          3185 | ZOTAC Cup North America #68                                                       | NULL   | 0     |
|          3186 | ZOTAC Cup North America #69                                                       | NULL   | 0     |
|          3187 | ZOTAC Cup North America #70                                                       | NULL   | 0     |
|          3188 | ZOTAC Cup North America #71                                                       | NULL   | 0     |
|          3189 | ZOTAC Cup North America #72                                                       | NULL   | 0     |
|          3190 | ZOTAC Cup North America #73                                                       | NULL   | 0     |
|          3191 | ZOTAC Cup North America #74                                                       | NULL   | 0     |
|          3192 | ZOTAC Cup North America #75                                                       | NULL   | 0     |
|          3193 | ZOTAC Cup North America #76                                                       | NULL   | 0     |
|          3194 | ZOTAC Cup North America #77                                                       | NULL   | 0     |
|          3195 | ZOTAC Cup North America #78                                                       | NULL   | 0     |
|          3196 | ZOTAC Cup North America #79                                                       | NULL   | 0     |
|          3197 | ZOTAC Cup North America #80                                                       | NULL   | 0     |
|          3198 | ZOTAC Cup North America #83                                                       | NULL   | 0     |
|          3199 | ZOTAC Cup North America #84                                                       | NULL   | 0     |
|          3200 | ZOTAC Cup North America #82                                                       | NULL   | 0     |
|          3201 | ZOTAC Cup Europe #88                                                              | NULL   | 0     |
|          3202 | ZOTAC Cup Europe #89                                                              | NULL   | 0     |
|          3203 | ZOTAC Cup Europe #90                                                              | NULL   | 0     |
|          3204 | ZOTAC Cup Europe #91                                                              | NULL   | 0     |
|          3205 | ZOTAC Cup Europe #92                                                              | NULL   | 0     |
|          3206 | ZOTAC Cup Europe #93                                                              | NULL   | 0     |
|          3207 | ZOTAC Cup Europe #94                                                              | NULL   | 0     |
|          3208 | ZOTAC Cup Europe #95                                                              | NULL   | 0     |
|          3209 | ZOTAC Cup Europe #96                                                              | NULL   | 0     |
|          3210 | ZOTAC Cup Europe #97                                                              | NULL   | 0     |
|          3211 | ZOTAC Cup Europe #98                                                              | NULL   | 0     |
|          3212 | ZOTAC Cup Europe #99                                                              | NULL   | 0     |
|          3213 | ZOTAC Cup Europe #100                                                             | NULL   | 0     |
|          3214 | ZOTAC Cup Europe #101                                                             | NULL   | 0     |
|          3215 | ZOTAC Cup Europe #102                                                             | NULL   | 0     |
|          3216 | ZOTAC Cup Europe #103                                                             | NULL   | 0     |
|          3217 | ZOTAC Cup Europe #104                                                             | NULL   | 0     |
|          3218 | ZOTAC Cup Europe #105                                                             | NULL   | 0     |
|          3219 | ZOTAC Cup Europe #106                                                             | NULL   | 0     |
|          3220 | ZOTAC Cup Europe #107                                                             | NULL   | 0     |
|          3221 | ZOTAC Cup Europe #108                                                             | NULL   | 0     |
|          3222 | ZOTAC Cup Europe #109                                                             | NULL   | 0     |
|          3223 | ZOTAC Cup Europe #110                                                             | NULL   | 0     |
|          3224 | ZOTAC Cup Europe #111                                                             | NULL   | 0     |
|          3225 | ZOTAC Cup Europe #112                                                             | NULL   | 0     |
|          3226 | ZOTAC Cup Europe #113                                                             | NULL   | 0     |
|          3227 | ZOTAC Cup Europe #114                                                             | NULL   | 0     |
|          3228 | ZOTAC Cup Europe #115                                                             | NULL   | 0     |
|          3229 | ZOTAC Cup Europe #116                                                             | NULL   | 0     |
