+--------+------+------------+------------+
| player | team | start_date | end_date   |
|    164 |   22 | 2010-03-24 | 2011-01-04 |
|    165 |   33 | 2012-07-29 | 2013-03-08 |
|    165 |  153 | 2013-05-23 | 2013-09-06 |
|    165 |  165 | 2013-09-06 | NULL       |
|    167 |   76 | 2011-04-24 | 2011-09-15 |
|    167 |   37 | 2011-09-22 | 2013-02-02 |
|    167 |   64 | 2013-02-02 | NULL       |
|    168 |   38 | 2010-11-20 | 2012-12-10 |
|    168 |   19 | 2012-12-10 | NULL       |
|    169 |   33 | 2008-11-03 | 2013-01-21 |
|    169 |   57 | 2013-01-27 | NULL       |
|    170 |   39 | 2010-03-22 | 2011-06-11 |
|    170 |   77 | 2011-06-15 | 2012-02-17 |
|    170 |   39 | 2012-05-15 | NULL       |
|    171 |   11 | 2011-05-04 | 2013-08-29 |
|    172 |   22 | 2010-03-24 | 2011-05-13 |
|    172 |  103 | 2011-05-13 | 2012-03-03 |
|    172 |    5 | 2012-03-03 | 2013-04-09 |
|    172 |  146 | 2013-04-09 | NULL       |
|    173 |   88 | 2010-10-19 | 2011-07-18 |
|    173 |    4 | 2011-07-18 | 2012-06-04 |
|    174 |   19 | 2011-01-29 | 2011-05-01 |
|    174 |   19 | 2011-07-09 | 2011-09-08 |
|    174 |   34 | 2011-09-08 | 2012-07-16 |
|    174 |   39 | 2012-08-10 | 2012-12-07 |
|    174 |   28 | 2013-04-26 | NULL       |
|    175 |    9 | 2000-07-03 | NULL       |
|    176 |   10 | 2000-11-13 | NULL       |
|    177 |   13 | 2000-03-29 | NULL       |
|    179 |   19 | 2010-07-24 | NULL       |
|    180 |   39 | 2010-03-23 | 2010-04-02 |
|    180 |   34 | 2010-04-02 | 2011-11-01 |
|    180 |   25 | 2011-11-23 | 2012-06-15 |
|    181 |   16 | 2010-10-11 | 2011-06-24 |
|    182 |   22 | 2010-10-13 | 2011-01-04 |
|    182 |   26 | 2011-07-19 | NULL       |
|    183 |   33 | 2010-12-12 | 2011-09-05 |
|    183 |  125 | 2011-09-13 | 2011-12-12 |
|    184 |   39 | 2010-04-18 | 2011-01-02 |
|    184 |   76 | 2011-04-10 | 2011-09-02 |
|    184 |   79 | 2011-11-04 | 2012-02-27 |
|    184 |   39 | 2012-08-07 | 2012-11-26 |
|    184 |   39 | 2012-12-21 | 2013-01-02 |
|    184 |   14 | 2013-01-02 | 2013-06-17 |
|    185 |  124 | 2012-05-17 | 2012-08-01 |
|    185 |   46 | 2012-08-05 | 2013-03-08 |
|    185 |  135 | 2013-05-15 | NULL       |
|    186 |   13 | 2000-05-26 | 2013-08-31 |
|    186 |   12 | 2013-08-31 | NULL       |
|    187 |   19 | 2010-09-15 | NULL       |
|    188 |   78 | 2011-10-31 | 2012-03-23 |
|    188 |   59 | 2012-06-27 | 2012-11-11 |
|    188 |  100 | 2012-11-11 | 2012-12-18 |
|    188 |   59 | 2012-12-18 | 2013-01-23 |
|    188 |  111 | 2013-01-23 | 2013-05-01 |
|    189 |   33 | 2008-12-30 | NULL       |
|    190 |   65 | 2010-10-20 | 2012-07-13 |
|    190 |    1 | 2012-07-13 | NULL       |
|    191 |   27 | 2012-01-29 | 2012-08-01 |
|    191 |   89 | 2013-04-24 | NULL       |
|    192 |   22 | 2010-10-13 | 2011-02-28 |
|    192 |   75 | 2011-02-28 | 2011-08-18 |
